"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalHalfBath","TotalFullBath","TotalFinSF","AbvGrndRoomSize","YrSold_Garage_Difference","hasDeck","hasOpenPorch","hasEnlosedPorch","hasX3SsnPorch","hasScreenPorch","hasPool","hasFence"
"198",198,"2 story newer","low density",174,10.1432522048666,"Reg","Lvl","Corner","Gtl","NAmes","near street","1Fam","2 stories",8,4,4.48863636973214,0,"Gable","Shingle","Stucco","Stucco","None",0,"3","3","PConc",3,3,1,"6",6.94408720822953,2,5.22035582507832,4.94875989037817,7.21597500265147,"GasA",3,"Y","SBrkr",7.21597500265147,7.21597500265147,392,1.78738484982998,1,1,2,0,4,1,5,8,"Typ",1,5,5,1918,5,2,6.67959918584438,3,3,"Y",0,2.83321334405622,6.31535800152233,0,0,3,2006,"Warranty Deed","Abnorml",235000,1,3,8.46041117731725,389,4.48863636973214,"No","Yes","Yes","No","No",1,1
"199",0,"0","0",0,0,"0","0","0","0","0","0","0","0",0,0,0,0,"0","0","0","0","0",0,"0","0","0",0,0,0,"0",0,0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,5,0,0,5,5,"0",0,0,0,0,0,0,0,"Other","0",0,0,0,0,0,0,"No","No","No","No","No",0,1
"200",200,"1 story (new styles)","low density",76,9.16858043772795,"Reg","Lvl","Inside","Gtl","NridgHt","Normal","1Fam","1 story",8,5,1.79175946922805,0,"Hip","Shingle","Synthetic","Synthetic","Brick",5.57215403217776,"3","2","PConc",5,3,3,"6",6.99301512293296,1,0,6.4393503711001,7.44658509915773,"GasA",4,"Y","SBrkr",7.44658509915773,0,0,-Inf,1,0,2,0,3,1,5,7,"Typ",1,4,5,2004,5,3,6.75343791859778,3,3,"Y",0,3.29583686600433,0,5.14166355650266,0,1,2009,"Warranty Deed","Normal",274900,0,3,7.93773177526011,244.714285714286,1.79175946922805,"No","Yes","No","No","Yes",0,0
"201",201,"1 story (new styles)","medium-high density",80,9.05321861620397,"Reg","Lvl","Corner","Gtl","Edwards","Normal","1Fam","1 story",4,5,2.07944154167984,0,"Gable","Shingle","Synthetic","Synthetic","None",0,"2","2","PConc",4,3,1,"1",0,1,0,7.02286808608264,7.02286808608264,"GasA",4,"Y","SBrkr",7.02286808608264,0,0,-Inf,0,0,2,0,2,1,5,5,"Typ",0,0,5,2003,5,2,6.08904487544685,3,3,"Y",4.89034912822175,4.17438726989564,0,0,0,3,2010,"Warranty Deed","Normal",140000,0,2,7.02197642307216,224.2,2.07944154167984,"Yes","Yes","No","No","No",0,0
"202",202,"1 story (new styles)","low density",75,9.22276289197474,"Reg","Lvl","Inside","Gtl","Mitchel","Normal","1Fam","1 story",6,6,3.46573590279973,1,"Gable","Shingle","Ply","Ply","None",0,"2","2","CBlock",3,3,1,"5",6.46458830368996,2,5.63478960316925,5.62401750618734,7.08757370555797,"GasA",2,"Y","SBrkr",7.15461535691366,0,0,-Inf,0,1,2,0,3,1,5,6,"Typ",2,2,5,1980,5,2,6.16120732169508,3,3,"Y",5.47646355193151,4.43081679884331,0,0,0,2,2008,"Warranty Deed","Normal",171500,1,2,7.69575799055476,213.166666666667,3.36729582998647,"Yes","Yes","No","No","No",0,1
"203",203,"1.5 stories","low density",50,8.85366542803745,"Reg","Lvl","Corner","Gtl","OldTown","near street","1Fam","1.5 stories",6,6,4.4188406077966,0,"Gable","Shingle","Stucco","Stucco","None",0,"2","3","BrkTil",2,3,1,"2",6.42648845745769,1,0,0,6.42648845745769,"GasA",3,"Y","SBrkr",6.76388490856244,6.10031895202006,0,-Inf,0,0,2,0,2,1,5,6,"Min1",0,0,5,1924,5,1,5.98896141688986,3,3,"Y",0,0,4.84418708645859,0,0,5,2006,"Court Deed/Estate","Normal",112000,0,2,7.56371966841437,218.333333333333,4.4188406077966,"No","No","Yes","No","No",0,0
"204",204,"projects","medium-high density",44.8,8.39795910349254,"Reg","Lvl","Inside","Gtl","CollgCr","Normal","TwnhsE","1 story",6,5,1.6094379124341,1,"Gable","Shingle","Synthetic","Synthetic","Brick",5.32787616878958,"3","2","PConc",4,3,3,"6",6.49677499018586,1,0,5.23110861685459,6.74405918631135,"GasA",4,"Y","SBrkr",6.74405918631135,0,0,-Inf,1,0,1,0,1,1,5,3,"Typ",1,4,5,2004,5,2,6.04263283368238,3,3,"Y",5.01063529409626,0,0,0,0,1,2008,"Warranty Deed","Normal",149000,0,2,7.31986492980897,282.666666666667,1.6094379124341,"Yes","No","No","No","No",0,0
"205",205,"1.5 stories","medium-high density",50,8.1605182474775,"Reg","Lvl","Inside","Gtl","OldTown","Normal","1Fam","1.5 stories",5,7,4.14313472639153,0,"Gable","Shingle","Shingle","Shingle","None",0,"2","2","CBlock",3,3,1,"2",5.74620319054015,1,0,6.0137151560428,6.58063913728495,"GasA",2,"Y","SBrkr",6.58063913728495,6.33682573114644,0,-Inf,0,0,1,1,2,1,5,5,"Typ",0,0,5,1948,5,1,5.48479693349065,3,3,"Y",0,3.58351893845611,0,0,0,4,2009,"Warranty Deed","Normal",110000,1,1,7.37525577800975,256.8,4.12713438504509,"No","Yes","No","No","No",0,1
"206",206,"1 story (new styles)","low density",99,9.38016753118845,"Reg","Lvl","Corner","Gtl","Gilbert","Normal","1Fam","1 story",7,5,2.99573227355399,1,"Gable","Shingle","Ply","Ply","None",0,"2","2","PConc",4,3,1,"1",0,1,0,7.26192709270275,7.26192709270275,"GasA",4,"Y","SBrkr",7.27447955877387,0,0,-Inf,0,0,2,0,3,1,5,5,"Typ",0,0,5,1990,5,2,6.21660610108486,3,3,"Y",0,3.55534806148941,0,0,0,5,2009,"Warranty Deed","Normal",180500,0,2,7.27378631784489,288.4,2.99573227355399,"No","Yes","No","Yes","No",0,0
"207",207,"1 story (new styles)","low density",40,9.52317836430908,"IR1","Lvl","CulDSac","Gtl","Sawyer","near railroad","1Fam","1 story",5,5,3.8286413964891,1,"Gable","Shingle","Ply","Ply","None",0,"2","3","CBlock",3,3,1,"1",0,1,0,7.03966034986208,7.03966034986208,"GasA",2,"Y","SBrkr",7.43661726523423,0,0,-Inf,0,0,1,1,3,1,5,8,"Min2",1,3,5,1962,5,1,5.85793315448346,3,3,"Y",0,3.43398720448515,0,0,0,3,2007,"Warranty Deed","Normal",143900,1,1,7.43602781635185,212,3.8286413964891,"No","Yes","No","No","No",0,0
"208",208,"1 story (new styles)","low density",81.2,9.43292376643183,"IR1","Lvl","Inside","Gtl","NAmes","Normal","1Fam","1 story",4,5,3.89182029811063,1,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","PConc",3,3,1,"5",6.04025471127741,3,5.7268477475872,5.92958914338989,7.00397413672268,"GasA",2,"Y","SBrkr",7.00397413672268,0,0,-Inf,1,0,1,0,3,1,5,6,"Typ",1,1,5,1960,5,1,5.74620319054015,3,3,"Y",5.87493073085203,0,0,0,0,4,2008,"Warranty Deed","Normal",141000,0,2,7.50933526601659,183.333333333333,3.89182029811063,"Yes","No","No","No","No",0,1
"209",209,"2 story newer","low density",74.4,9.57248035534597,"IR1","Low","Inside","Mod","SawyerW","Normal","1Fam","2 stories",7,5,2.99573227355399,0,"Gable","Shingle","Ply","Ply","Brick",4.85981240436167,"3","2","CBlock",4,3,4,"6",6.97166860472579,1,0,4.53259949315326,7.05444965813294,"GasA",4,"Y","SBrkr",7.07411681619736,6.78332520060396,0,-Inf,1,0,2,1,3,1,5,7,"Typ",1,4,5,1988,5,2,6.12029741895095,3,3,"Y",4.11087386417331,4.02535169073515,0,5.04342511691925,0,4,2007,"Warranty Deed","Normal",277000,1,3,8.04782935745784,294.571428571429,2.99573227355399,"Yes","Yes","No","No","Yes",0,0
"210",210,"1 story (new styles)","low density",75,9.01796847932873,"Reg","Lvl","Inside","Gtl","NAmes","Normal","1Fam","1 story",6,7,3.80666248977032,1,"Hip","Shingle","Ply","Ply","Stone",5.56452040732269,"2","2","CBlock",4,3,1,"3",6.66949808985788,1,0,5.72358510195238,6.99668148817654,"GasA",4,"Y","SBrkr",6.99668148817654,0,0,-Inf,1,0,1,0,3,1,5,6,"Typ",0,0,5,1964,5,2,6.22455842927536,3,4,"Y",0,0,0,0,0,7,2008,"Warranty Deed","Normal",145000,0,2,7.53849499941346,182,3.80666248977032,"No","No","No","No","No",0,1
"211",0,"0","0",0,0,"0","0","0","0","0","0","0","0",0,0,0,0,"0","0","0","0","0",0,"0","0","0",0,0,0,"0",0,0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,5,0,0,5,5,"0",0,0,0,0,0,0,0,"Other","0",0,0,0,0,0,0,"No","No","No","No","No",0,1
"212",212,"1 story (new styles)","low density",83,9.25148231530736,"Reg","Lvl","Corner","Gtl","Edwards","Normal","1Fam","1 story",6,5,0.693147180559945,1,"Gable","Shingle","Synthetic","Synthetic","None",0,"2","2","PConc",4,3,2,"6",3.61091791264422,1,0,7.07072410726028,7.10085190894405,"GasA",4,"Y","SBrkr",7.10085190894405,0,0,-Inf,0,0,2,0,3,1,5,6,"Typ",0,0,5,2009,5,2,6.13339804299665,3,3,"Y",4.61512051684126,3.13549421592915,0,0,0,3,2010,"Warranty Deed","Normal",186000,0,2,7.12929754892937,202,0.693147180559945,"Yes","Yes","No","No","No",0,0
"213",213,"2 story newer","floating",72,9.0641578617981,"Reg","Lvl","Inside","Gtl","Somerst","Normal","1Fam","2 stories",7,5,0,1,"Gable","Shingle","Synthetic","Synthetic","None",0,"2","2","PConc",4,3,1,"6",6.71295620067707,1,0,4.36944785246702,6.80350525760834,"GasA",4,"Y","SBrkr",6.83840520084734,6.82546003625531,0,-Inf,1,0,2,1,3,1,5,7,"Typ",1,3,5,2009,5,2,6.46925031679577,3,3,"Y",5.12989871492307,4.69134788222914,0,0,0,7,2009,"New Home","Partial",252678,1,3,7.89133075766189,264.571428571429,0,"Yes","Yes","No","No","No",0,0
"214",214,"1 story (new styles)","low density",43,9.51546935803168,"IR2","Lvl","CulDSac","Gtl","CollgCr","Normal","1Fam","1 story",5,5,2.484906649788,1,"Gable","Shingle","Synthetic","Synthetic","None",0,"2","2","PConc",4,3,1,"5",6.57507584059962,1,0,5.61677109766657,6.89871453432999,"GasA",4,"Y","SBrkr",6.89871453432999,0,0,-Inf,0,1,1,0,3,1,5,5,"Typ",0,0,5,1996,5,2,6.3578422665081,3,3,"Y",5.41610040220442,0,0,0,0,7,2006,"Warranty Deed","Normal",156000,1,1,7.44190672805162,198,2.39789527279837,"Yes","No","No","No","No",0,0
"215",215,"2 story newer","low density",86.8,9.29651806821724,"IR1","Lvl","FR2","Gtl","CollgCr","Normal","1Fam","2 stories",6,7,3.52636052461616,1,"Gable","Shingle","Ply","Ply","Brick",5.03695260241363,"2","2","CBlock",4,3,1,"6",5.93753620508243,1,0,5.74300318780948,6.5366915975913,"GasA",4,"Y","SBrkr",6.5366915975913,6.55677835615804,0,-Inf,0,0,1,1,3,1,5,6,"Typ",0,0,5,1977,5,1,5.7037824746562,3,3,"Y",0,3.61091791264422,0,0,6.11146733950268,3,2010,"Warranty Deed","Normal",161750,1,1,7.47873482556787,232,3.52636052461616,"No","Yes","No","No","No",0,1
"216",216,"1 story (new styles)","low density",72,9.21143976741948,"IR1","Lvl","Inside","Gtl","NAmes","Normal","1Fam","1 story",5,6,3.91202300542815,0,"Gable","Shingle","Ply","Ply","Brick",4.17438726989564,"2","2","CBlock",3,3,1,"4",5.88887795833288,1,0,6.56667242980324,6.97634807044775,"GasA",2,"Y","SBrkr",7.12044437239249,0,0,-Inf,0,1,1,0,2,1,5,6,"Min1",1,2,5,1957,5,1,6.10479323241498,3,3,"Y",0,0,0,0,0,5,2006,"Warranty Deed","Normal",134450,1,1,7.37525577800975,206,3.91202300542815,"No","No","No","No","No",0,1
"217",217,"1 story (new styles)","low density",65,9.04192172035122,"Reg","Lvl","Inside","Gtl","CollgCr","Normal","1Fam","1 story",7,5,1.6094379124341,1,"Gable","Shingle","Synthetic","Synthetic","Brick",5.58724865840025,"3","2","PConc",4,3,2,"6",6.85329909318608,1,0,6.19644412779452,7.27031288607902,"GasA",4,"Y","SBrkr",7.27031288607902,0,0,-Inf,1,0,2,0,3,1,5,8,"Typ",0,0,5,2004,5,2,6.18414889093748,3,3,"Y",4.9416424226093,4.59511985013459,0,0,0,4,2008,"Warranty Deed","Normal",210000,0,3,7.77569574991525,179.5,1.6094379124341,"Yes","Yes","No","No","No",0,0
"218",218,"2 story older","medium-high density",57,9.20089591314818,"Reg","Lvl","Inside","Gtl","OldTown","Normal","1Fam","2 stories",4,4,4.40671924726425,0,"Gable","Shingle","Stucco","Stucco","None",0,"2","2","CBlock",3,3,1,"1",0,1,0,6.53233429222235,6.53233429222235,"GasA",1,"N","SBrkr",6.69826805411541,6.25190388316589,0,-Inf,0,0,1,0,3,1,5,8,"Typ",0,0,5,1940,5,1,5.35185813347607,3,3,"Y",0,5.15329159449778,4.11087386417331,0,0,9,2006,"Warranty Deed","Family",107000,0,1,7.19142933003638,166,4.20469261939097,"No","Yes","Yes","No","No",0,0
"219",219,"1.5 stories","low density",88.4,9.65886496954479,"IR1","Lvl","Corner","Gtl","Crawfor","Normal","1Fam","1.5 stories",7,9,4.24849524204936,0,"Gable","Shingle","Synthetic","Synthetic","Brick",5.74620319054015,"3","3","CBlock",3,3,1,"4",5.8348107370626,1,0,6.12686918411419,6.68336094576627,"GasA",4,"Y","SBrkr",7.03702761468628,6.70686233660275,0,-Inf,0,1,1,1,3,1,5,8,"Typ",2,3,5,1939,5,2,6.06842558824411,3,3,"Y",0,4.78749174278205,5.01727983681492,0,0,5,2008,"Warranty Deed","Normal",311500,2,1,7.73848812249465,244.25,4.24849524204936,"No","Yes","Yes","No","No",0,0
"220",220,"projects","low density",43,8.00969535774292,"Reg","Lvl","Inside","Gtl","Blmngtn","Normal","TwnhsE","1 story",7,5,0.693147180559945,0,"Gable","Shingle","Synthetic","Synthetic","Brick",2.83321334405622,"3","2","PConc",4,3,3,"6",2.83321334405622,1,0,7.11720550316434,7.13009851012558,"GasA",4,"Y","SBrkr",7.13009851012558,0,0,-Inf,0,0,2,0,2,1,5,5,"Typ",0,0,5,2005,5,2,6.08449941307517,3,3,"Y",4.69134788222914,0,0,0,0,3,2006,"New Home","Partial",167240,0,2,7.1420365747068,249.6,0.693147180559945,"Yes","No","No","No","No",0,0
"221",221,"1 story (new styles)","low density",73,9.10386812746567,"IR1","Lvl","Inside","Gtl","CollgCr","Normal","1Fam","1 story",7,5,0,1,"Gable","Shingle","Synthetic","Synthetic","None",0,"3","2","PConc",4,3,2,"1",0,1,0,7.3125534981026,7.3125534981026,"GasA",4,"Y","SBrkr",7.3125534981026,0,0,-Inf,0,0,2,0,2,1,5,5,"Typ",0,0,5,2006,5,2,6.51619307604296,3,3,"Y",5.8636311755981,3.52636052461616,0,0,0,4,2006,"New Home","Partial",204900,0,2,7.31188616407716,299.6,0,"Yes","Yes","No","No","No",0,0
"222",222,"2 story newer","low density",59.8,8.9956608990741,"IR1","Lvl","Inside","Gtl","Gilbert","Normal","1Fam","2 stories",6,5,2.07944154167984,1,"Gable","Shingle","Synthetic","Synthetic","None",0,"3","2","PConc",4,3,1,"1",0,1,0,6.91869521902047,6.91869521902047,"GasA",4,"Y","SBrkr",6.91869521902047,7.13727843726039,0,-Inf,0,0,2,1,4,1,5,8,"Typ",1,3,5,2002,5,2,5.96870755998537,3,3,"Y",4.79579054559674,3.85014760171006,0,0,0,12,2009,"Low Interest/Down Payment","Normal",2e+05,1,2,7.72621265050753,283.375,2.07944154167984,"Yes","Yes","No","No","No",0,0
"223",223,"2 story newer","low density",85,9.34792603492875,"Reg","Lvl","Inside","Gtl","NWAmes","near railroad","1Fam","2 stories",6,6,3.46573590279973,1,"Gable","Shingle","Synthetic","Synthetic","None",0,"2","2","CBlock",4,3,1,"5",6.31173480915291,1,0,5.0998664278242,6.57088296233958,"GasA",2,"Y","SBrkr",6.69950034016168,6.60934924316738,0,-Inf,1,0,2,1,3,1,5,6,"Typ",1,3,5,1975,5,2,6.07534603108868,3,3,"Y",5.34710753071747,5.34233425196481,0,0,0,2,2006,"Warranty Deed","Normal",179900,1,3,7.6506445514369,258.666666666667,3.46573590279973,"Yes","Yes","No","No","No",0,1
"224",224,"1 story (new styles)","low density",70,9.25913053614561,"Reg","Lvl","FR2","Gtl","NAmes","Normal","1Fam","1 story",4,6,3.66356164612965,1,"Gable","Shingle","Ply","Ply","None",0,"2","2","CBlock",3,3,1,"5",6.26339826259162,2,5.19849703126583,5.08140436498446,6.76272950693188,"GasA",3,"Y","SBrkr",6.76272950693188,0,0,-Inf,0,0,1,0,2,1,5,4,"Typ",0,0,5,1989,5,2,6.3578422665081,3,3,"Y",5.37989735354046,0,0,0,0,3,2009,"Warranty Deed","Abnorml",97000,0,1,7.35755620091035,216,3.04452243772342,"Yes","No","No","No","No",0,0
"225",225,"1 story (new styles)","low density",103,9.50836873648211,"Reg","Lvl","Inside","Gtl","NridgHt","Normal","1Fam","1 story",10,5,1.94591014905531,1,"Hip","Shingle","Synthetic","Synthetic","Brick",6.82762923450285,"4","2","PConc",5,3,4,"6",4.04305126783455,1,0,7.75662333453886,7.78030308790837,"GasA",4,"Y","SBrkr",7.78030308790837,0,0,-Inf,0,0,2,0,3,1,5,8,"Typ",1,5,5,2003,5,3,6.87626461189077,3,3,"Y",5.51745289646471,4.66343909411207,0,0,0,6,2009,"Warranty Deed","Normal",386250,0,2,7.80302664363222,299,1.94591014905531,"Yes","Yes","No","No","No",0,0
"226",226,"projects","medium-high density",21,7.4265490723973,"Reg","Lvl","Inside","Gtl","BrDale","Normal","Twnhs","2 stories",5,5,3.66356164612965,1,"Gable","Shingle","Ply","Ply","Brick",4.96284463025991,"2","2","CBlock",3,3,1,"1",0,1,0,6.44730586254121,6.44730586254121,"GasA",2,"Y","SBrkr",6.44730586254121,6.51174532964473,0,-Inf,0,0,2,1,3,1,5,6,"Typ",0,0,5,1991,5,1,5.63835466933375,3,3,"Y",0,0,0,0,0,5,2009,"Court Deed/Estate","Abnorml",112000,1,2,7.17165682276851,217,2.94443897916644,"No","No","No","No","No",0,0
"227",227,"2 story newer","low density",82,9.20532783015264,"IR1","Lvl","Inside","Gtl","NoRidge","Normal","1Fam","2 stories",7,5,2.56494935746154,1,"Gable","Shingle","Synthetic","Synthetic","Brick",5.67332326717149,"3","2","PConc",4,3,1,"6",6.33859407820318,1,0,6.45990445437753,7.09340462586877,"GasA",4,"Y","SBrkr",7.10249935577465,7.17548971362422,0,-Inf,0,0,2,1,4,1,5,9,"Typ",1,3,5,1995,5,3,6.58202513889283,3,3,"Y",5.41610040220442,4.74493212836325,0,0,0,6,2007,"Warranty Deed","Abnorml",290000,1,2,8.03430693633949,280,2.56494935746154,"Yes","Yes","No","No","No",0,0
"228",228,"projects","medium-high density",21,7.53315880745556,"Reg","Lvl","Inside","Gtl","BrDale","Normal","Twnhs","2 stories",6,6,3.66356164612965,1,"Gable","Shingle","Ply","Ply","Brick",4.85203026391962,"2","2","CBlock",3,3,1,"3",5.77455154554441,1,0,5.09375020080676,6.18208490671663,"GasA",2,"Y","SBrkr",6.18208490671663,6.22455842927536,0,-Inf,0,0,1,1,2,1,5,5,"Typ",0,0,5,1987,5,1,5.63835466933375,3,3,"Y",0,0,0,0,0,9,2008,"Warranty Deed","Normal",106000,1,1,7.17625453201714,197.4,3.09104245335832,"No","No","No","No","No",0,0
"229",229,"1 story (new styles)","low density",70,9.05028898382796,"Reg","Lvl","FR2","Gtl","Sawyer","near street","1Fam","1 story",5,5,3.78418963391826,1,"Gable","Shingle","Ply","Ply","None",0,"2","2","CBlock",3,3,1,"5",6.73696695800186,1,0,4.26267987704132,6.81673588059497,"GasA",2,"Y","SBrkr",6.81673588059497,0,0,-Inf,0,0,1,0,3,1,5,5,"Typ",1,2,5,1974,5,1,5.82008293035236,3,3,"Y",0,0,0,0,0,5,2010,"Warranty Deed","Normal",125000,0,1,7.46965417293213,182.4,3.61091791264422,"No","No","No","No","No",0,1
"230",230,"projects","low density",43,8.06526520889773,"Reg","Lvl","Inside","Gtl","Blmngtn","Normal","TwnhsE","1 story",7,5,1.6094379124341,0,"Gable","Shingle","Synthetic","Synthetic","Brick",2.83321334405622,"3","2","PConc",4,3,3,"6",2.83321334405622,1,0,7.21376830811864,7.22548147278229,"GasA",4,"Y","SBrkr",7.34987370473834,0,0,-Inf,0,0,2,0,2,1,5,7,"Typ",1,3,5,2005,5,2,6.06610809010375,3,3,"Y",4.969813299576,3.04452243772342,0,0,0,5,2009,"Warranty Deed","Normal",192500,0,2,7.35946763825562,222.142857142857,1.6094379124341,"Yes","Yes","No","No","No",0,0
"231",231,"1 story (new styles)","low density",73,9.07795118393044,"Reg","Lvl","Inside","Gtl","NAmes","Normal","1Fam","1 story",6,6,3.95124371858143,1,"Hip","Shingle","Stucco","Stucco","Brick",5.39816270151775,"2","2","CBlock",3,3,1,"1",0,1,0,7.08590146436561,7.08590146436561,"GasA",2,"Y","SBrkr",7.08590146436561,0,0,-Inf,1,0,1,0,3,1,5,6,"Typ",0,0,5,1959,5,1,5.74620319054015,3,3,"Y",0,0,4.79579054559674,0,0,4,2010,"Warranty Deed","Normal",148000,0,2,7.08506429395255,199,3.95124371858143,"No","No","Yes","No","No",0,0
"232",232,"2 story newer","low density",174,9.62496341786911,"IR1","Lvl","Inside","Gtl","NoRidge","Normal","1Fam","2 stories",8,5,2.70805020110221,0,"Gable","Shingle","Synthetic","Synthetic","Brick",6.22851100359118,"3","2","PConc",4,3,1,"6",6.5366915975913,1,0,6.65157187358973,7.28824440102012,"GasA",4,"Y","SBrkr",7.30720231476474,7.17395831975679,0,-Inf,1,0,2,1,4,1,5,9,"Typ",1,3,5,1995,5,3,6.69826805411541,3,3,"Y",0,4.99043258677874,5.31320597904179,0,0,7,2009,"Warranty Deed","Normal",403000,1,3,8.155649270366,310.444444444444,2.70805020110221,"No","Yes","Yes","No","No",0,0
"233",233,"projects","medium-high density",21,7.4265490723973,"Reg","Lvl","Inside","Gtl","BrDale","Normal","Twnhs","2 stories",6,5,3.55534806148941,1,"Gable","Shingle","Ply","Ply","Brick",5.6970934865054,"2","2","CBlock",3,3,1,"1",0,1,0,6.18208490671663,6.18208490671663,"GasA",2,"Y","SBrkr",6.18208490671663,6.22455842927536,0,-Inf,0,0,1,1,2,1,5,5,"Typ",1,1,5,1972,5,1,5.66642668811243,3,3,"Y",0,0,0,0,0,6,2006,"Warranty Deed","Normal",94500,1,1,6.89467003943348,197.4,3.55534806148941,"No","No","No","No","No",0,0
"234",234,"1 story (new styles)","low density",75,9.27331517113757,"Reg","Lvl","Corner","Gtl","CollgCr","Normal","1Fam","1 story",5,6,3.55534806148941,1,"Gable","Shingle","Ply","Ply","None",0,"2","2","CBlock",3,4,3,"2",5.20948615284142,5,6.5694814204143,0,6.79682371827486,"GasA",2,"Y","SBrkr",6.79682371827486,0,0,-Inf,1,0,1,0,3,1,5,5,"Typ",0,0,5,1976,5,1,5.73334127689775,3,3,"Y",5.90263333340137,0,0,0,0,2,2010,"Warranty Deed","Normal",128200,0,2,7.48885295573346,178.8,3.55534806148941,"Yes","No","No","No","No",0,1
"235",235,"2 story newer","low density",60.6,8.96839619119826,"Reg","Lvl","Inside","Gtl","Gilbert","Normal","1Fam","2 stories",6,5,2.19722457733622,1,"Gable","Shingle","Synthetic","Synthetic","Stone",0,"3","2","PConc",4,3,1,"6",6.4393503711001,1,0,5.46383180502561,6.75809450442773,"GasA",4,"Y","SBrkr",6.75809450442773,7.00397413672268,0,-Inf,1,0,2,1,4,1,5,8,"Typ",2,3,5,2002,5,2,6.08904487544685,3,3,"Y",5.66642668811243,3.89182029811063,0,0,0,5,2010,"Warranty Deed","Normal",216500,1,3,7.85748078694253,245,2.19722457733622,"Yes","Yes","No","No","No",0,0
"236",236,"projects","medium-high density",21,7.4265490723973,"Reg","Lvl","Inside","Gtl","BrDale","Normal","TwnhsE","2 stories",6,3,3.63758615972639,1,"Gable","Shingle","Ply","Ply","Brick",6.40522845803084,"2","2","CBlock",3,3,1,"5",5.88332238848828,1,0,4.83628190695148,6.18208490671663,"GasA",2,"Y","SBrkr",6.18208490671663,6.22455842927536,0,-Inf,0,0,1,1,2,1,5,5,"Typ",0,0,5,1971,5,1,5.57972982598622,3,3,"Y",0,0,0,0,0,8,2008,"Warranty Deed","Normal",89500,1,1,7.20414929203594,197.4,3.63758615972639,"No","No","No","No","No",0,0
"237",237,"1 story (new styles)","low density",65,9.07943410212838,"Reg","Lvl","FR2","Gtl","CollgCr","Normal","1Fam","1 story",7,5,1.94591014905531,1,"Gable","Shingle","Synthetic","Synthetic","Brick",4.59511985013459,"3","2","PConc",4,3,3,"6",3.2188758248682,1,0,7.23777819192344,7.25488481007734,"GasA",4,"Y","SBrkr",7.25488481007734,0,0,-Inf,0,0,2,0,3,1,5,6,"Typ",0,0,5,2004,5,2,6.20455776256869,3,3,"Y",4.89034912822175,4.66343909411207,0,0,0,5,2010,"Warranty Deed","Normal",185500,0,2,7.27100853828099,235.666666666667,1.94591014905531,"Yes","Yes","No","No","No",0,0
"238",238,"2 story newer","low density",75,9.15408743042538,"IR1","Lvl","CulDSac","Gtl","SawyerW","near railroad","1Fam","2 stories",7,7,2.89037175789616,0,"Gable","Shingle","Ply","Ply","None",0,"3","2","PConc",4,3,1,"4",5.99893656194668,1,0,6.38856140554563,6.90475076996184,"GasA",4,"Y","SBrkr",6.92264389147589,6.59441345974978,0,-Inf,0,0,2,1,3,1,5,7,"Typ",0,0,5,1993,5,2,6.12686918411419,3,3,"Y",5.91620206260743,4.26267987704132,0,0,0,2,2010,"Warranty Deed","Normal",194500,1,2,7.67136092319064,249.142857142857,2.89037175789616,"Yes","Yes","No","Yes","No",0,0
"239",239,"1 story (new styles)","low density",93,9.39515880896873,"Reg","Lvl","Inside","Gtl","NridgHt","Normal","1Fam","1 story",8,5,0,1,"Hip","Shingle","Synthetic","Synthetic","Brick",5.54126354515843,"4","2","PConc",5,3,1,"1",0,1,0,7.43543801981455,7.43543801981455,"GasA",4,"Y","SBrkr",7.43543801981455,0,0,-Inf,0,0,2,0,3,1,5,7,"Typ",0,0,5,2007,5,3,6.70808408385307,3,3,"Y",5.12989871492307,5.43372200355424,0,0,0,12,2007,"New Home","Partial",318000,0,2,7.434847875212,242,0,"Yes","Yes","No","No","No",0,0
